ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120607,FLORIDA,SAINT AUGUSTINE,ST. JOHNS,Urban,T-Intersection,SR-A1A,MENENDEZ DRIVE,Non-Motorist on Personal Conveyance,1,0,1,1,0,1,1,1,1,March,Thursday,Clear,Daylight,29.8900,-81.2943
120608,FLORIDA,FORT LAUDERDALE,BROWARD,Urban,T-Intersection,SR-A1A,MIAMI RD,Pedestrian,1,0,1,1,0,1,1,5,5,March,Monday,Clear,Dark - Lighted,26.0891,-80.1363
120609,FLORIDA,INDIAN SHORES,PINELLAS,Urban,Not an Intersection,197TH AVE,,Pedestrian,1,0,1,1,0,1,1,0,0,March,Wednesday,Clear,Daylight,27.8571,-82.8455
120610,FLORIDA,TAMPA,HILLSBOROUGH,Urban,Four-Way Intersection,SR-574,17TH ST,Pedestrian,1,0,1,1,0,1,1,3,3,March,Friday,Clear,Dark - Not Lighted,27.9815,-82.4400
120611,FLORIDA,LAKELAND,POLK,Urban,Not an Intersection,US-98,,Pedestrian,1,0,1,1,0,1,1,1,1,March,Tuesday,Clear,Dark - Lighted,28.0775,-81.9624
120612,FLORIDA,CASSELBERRY,SEMINOLE,Urban,Not an Intersection,SR-436,,Pedestrian,1,0,1,1,0,1,1,1,1,March,Saturday,Rain,Dark - Lighted,28.6259,-81.3162
120614,FLORIDA,SARASOTA,SARASOTA,Urban,Not an Intersection,US-301,,Pedestrian,1,0,1,1,0,1,1,1,1,January,Wednesday,Rain,Dark - Lighted,27.3572,-82.5303
120615,FLORIDA,MIAMI,MIAMI-DADE,Urban,Four-Way Intersection,SR-934,NW 7TH AVE,Non-Motorist on Personal Conveyance,1,0,1,1,0,1,1,1,1,April,Saturday,Clear,Dawn,25.8470,-80.2091
120616,FLORIDA,SARASOTA,SARASOTA,Urban,Not an Intersection,US-301,,Pedalcyclist,1,0,1,1,0,1,1,1,1,January,Sunday,Clear,Dark - Lighted,27.3425,-82.5310
120617,FLORIDA,ORLANDO,ORANGE,Urban,Not an Intersection,SR-438,,Pedestrian,1,0,1,1,0,1,1,1,1,March,Thursday,Clear,Dark - Not Lighted,28.5780,-81.4410
120618,FLORIDA,JACKSONVILLE,DUVAL,Rural,Not an Intersection,MATTHEW UNGER DR,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Thursday,Cloudy,Dark - Not Lighted,30.3345,-81.4853
120619,FLORIDA,TALLAHASSEE,LEON,Rural,Not an Intersection,THARPE ST,,Pedestrian,1,0,1,1,0,1,1,2,2,April,Sunday,Clear,Dark - Lighted,30.4654,-84.3335
120620,FLORIDA,MIAMI,MIAMI-DADE,Urban,Four-Way Intersection,SR-9,14 STREET,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Thursday,Clear,Daylight,25.7868,-80.2395
